Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;002;10206;Strombeck, Michael S.;35.3%;;17.6%;;17.6%;11.8%;5.9%;;5.9%;;;;;;5.9%;;;;;;;;;
;;;;;;003;10204;Sanz Giraldo, Laura Lucia;33.3%;13.3%;40.0%;;;;;;;6.7%;;;;;;;;;;;;;6.7%;
;;;;;;004;10202;Nielsen, Zoe N.;14.3%;28.6%;14.3%;;7.1%;;;;;;;7.1%;;;7.1%;;;;;;;;21.4%;
;;;;;;005;10200;Choi, Jong-un;25.0%;8.3%;16.7%;;8.3%;;8.3%;8.3%;;;;;;;8.3%;;;;;;;;16.7%;
;;;;;;006;15693;Strombeck, Michael S.;37.5%;12.5%;25.0%;;18.8%;;;;;;6.3%;;;;;;;;;;;;;
;;;;;;008;10208;Jung, Hoijin;12.5%;18.8%;;;25.0%;12.5%;6.3%;;;;;;;;6.3%;;;6.3%;;;;;12.5%;
;;;;;;009;15692;Choi, Jong-un;23.5%;41.2%;11.8%;;;5.9%;5.9%;;;;;;;;5.9%;;;;;;;;5.9%;
;;;Basic Drawing-Honors;202420;Spring 2024;006;15693;Strombeck, Michael S.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;11400;Drawing II;202420;Spring 2024;001;10211;Choi, Jong-un;38.9%;5.6%;38.9%;;;;5.6%;;;5.6%;;;;;5.6%;;;;;;;;;
;;11700;Black And White Photography;202420;Spring 2024;001;46021;Ridgway, Victoria J.;;13.3%;73.3%;;;;13.3%;;;;;;;;;;;;;;;;;
;;;;;;002;12958;Swanson, Patricia A.;57.1%;21.4%;;;7.1%;;;;;7.1%;;;;;;;;;;;;;7.1%;
;;;;;;003;17056;Ridgway, Victoria J.;13.3%;6.7%;66.7%;;;;13.3%;;;;;;;;;;;;;;;;;
;;11900;Color Photography;202420;Spring 2024;001;55617;Ridgway, Victoria J.;15.4%;;76.9%;;;;7.7%;;;;;;;;;;;;;;;;;
;;;;;;002;16287;Strouse, Janell N.;87.5%;;6.3%;;;;;;;;;;;;;;;;;;;;6.3%;
;;;Color Photography-Honors;202420;Spring 2024;002;16287;Strouse, Janell N.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;13000;Interior Design Communication;202420;Spring 2024;001;41210;Bittner, Laura E.;20.0%;33.3%;;;20.0%;6.7%;13.3%;;;;;;;;6.7%;;;;;;;;;
;;;;;;002;15698;Bittner, Laura E.;26.7%;20.0%;;;26.7%;;20.0%;;;;6.7%;;;;;;;;;;;;;
;;;;;;003;27222;Bulow, Hannah K.;38.5%;15.4%;;;23.1%;;;;;;;7.7%;;;;;;;;;;;15.4%;
;;14600;Design Drawing I;202420;Spring 2024;001;10227;Wang, Yulu;20.0%;35.0%;20.0%;;;5.0%;15.0%;;;5.0%;;;;;;;;;;;;;;
;;;;;;002;10228;Lemery, Coco R.;33.3%;4.8%;28.6%;;4.8%;;4.8%;;;;;;;;9.5%;;;;;;;;14.3%;
;;;;;;003;11488;Wang, Yulu;21.1%;52.6%;21.1%;;;;;;;;;;;;;;;;;;;;5.3%;
;;20000;Beginning Painting;202420;Spring 2024;001;41718;Gick, Charles A.;45.5%;45.5%;;;;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;002;17905;Stetler, Victoria K.;50.0%;25.0%;;;16.7%;;;;;;;;;;;;;;;;;;8.3%;
;;;Beginning Painting-Honors;202420;Spring 2024;001;41718;Gick, Charles A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20100;Art For Elem Schl Tchr;202420;Spring 2024;001;10237;Vickers, Heather G.;70.6%;;;;29.4%;;;;;;;;;;;;;;;;;;;
;;;;;;007;14374;Vickers, Heather G.;89.5%;;;;;;;5.3%;;;5.3%;;;;;;;;;;;;;
;;;;;;012;10223;Vickers, Heather G.;88.2%;;;;;;;11.8%;;;;;;;;;;;;;;;;
;;;;;;014;21763;Vickers, Heather G.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Art For Elem Schl Tchr-Honors;202420;Spring 2024;012;10223;Vickers, Heather G.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20600;Studio In VCD;202420;Spring 2024;003;14433;Barrett, Felicia J.;8.3%;8.3%;41.7%;;8.3%;8.3%;16.7%;8.3%;;;;;;;;;;;;;;;;
;;;;;;004;19067;Kim, Do Gyun;13.3%;6.7%;13.3%;;13.3%;;40.0%;;;;;;6.7%;;6.7%;;;;;;;;;
;;;;;;005;25330;Kim, Do Gyun;14.3%;35.7%;28.6%;;7.1%;;;;7.1%;;;;;;;;;;;;;;7.1%;
;;;;;;006;15361;Deal, James David;20.0%;13.3%;26.7%;;13.3%;6.7%;;;6.7%;6.7%;;;;;;;;;;;;;6.7%;
;;21300;Life Drawing I;202420;Spring 2024;001;41850;Penington, Eric A.;28.6%;64.3%;7.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;14386;Wuenschel, Christine L.;30.8%;38.5%;;;7.7%;;23.1%;;;;;;;;;;;;;;;;;
;;22700;Hist Of Art Since 1400;202420;Spring 2024;001;10255;Woodward, Elizabeth J.;34.8%;18.2%;9.1%;;15.2%;1.5%;15.2%;;;3.0%;;;1.5%;;;;;;;;;;1.5%;
;;;;;;002;10254;Brandt, Allie K.;18.5%;12.6%;62.2%;;;0.8%;4.2%;;;0.8%;;;;;;;;0.8%;;;;;;
;;;;;;003;10814;Woodward, Elizabeth J.;25.0%;18.8%;9.4%;;6.3%;15.6%;12.5%;;;6.3%;;;;;3.1%;;;;;;;;3.1%;
;;22900;VCD Computing II;202420;Spring 2024;001;10259;Jacobson, Alexandra L.;37.5%;6.3%;;;25.0%;12.5%;12.5%;;;6.3%;;;;;;;;;;;;;;
;;;;;;002;10260;Barrett, Felicia J.;31.3%;18.8%;12.5%;;12.5%;;18.8%;;;6.3%;;;;;;;;;;;;;;
;;;;;;003;25331;Barrett, Felicia J.;43.8%;12.5%;;;6.3%;12.5%;18.8%;;;;6.3%;;;;;;;;;;;;;
;;22901;Vis Commun Design Soph Review;202420;Spring 2024;003;19394;Kim, Hyungjoo A.;;;;;;;;;;;;;;;;;;;;57.4%;;38.9%;3.7%;
;;23400;Art & Design Intern Prep;202420;Spring 2024;001;62901;Deal, James David;67.9%;9.2%;;;5.3%;4.6%;;0.8%;0.8%;;;0.8%;1.5%;;0.8%;;;;;;;;8.4%;
;;23500;Materials&Processes II;202420;Spring 2024;001;16799;Marchese, David A.;36.4%;27.3%;;;18.2%;;9.1%;9.1%;;;;;;;;;;;;;;;;
;;;;;;002;10235;Marchese, David A.;23.1%;30.8%;;;23.1%;;7.7%;;;;;;;;;;;;;;;;15.4%;
;;;;;;003;25999;Marchese, David A.;8.3%;25.0%;;;25.0%;;16.7%;8.3%;;;;;;;;;;;;;;;16.7%;
;;23600;Lighting Fund For Photography;202420;Spring 2024;001;15702;Strouse, Janell N.;86.7%;6.7%;;;;;;6.7%;;;;;;;;;;;;;;;;
;;24200;Ceramics I;202420;Spring 2024;001;10265;Brown, Desirae R.;50.0%;;14.3%;;;;7.1%;7.1%;;7.1%;;7.1%;7.1%;;;;;;;;;;;
;;;;;;002;41854;Brown, Desirae R.;64.3%;;7.1%;;7.1%;;7.1%;;;;;;;;7.1%;;;;;;;;7.1%;
;;;;;;003;24155;Brown, Desirae R.;46.7%;6.7%;6.7%;;6.7%;;;6.7%;;;;;;;;;;6.7%;;;;;20.0%;
;;25000;Interior Design II;202420;Spring 2024;003;17861;Young, Barbara L.;15.4%;38.5%;;;7.7%;;23.1%;;7.7%;;;;;;;;;;;;;;7.7%;
;;;;;;004;13393;Young, Barbara L.;29.4%;11.8%;;;23.5%;17.6%;;5.9%;;5.9%;;;;;;;;;;;;;5.9%;
;;25001;Inter Design Sophomore Review;202420;Spring 2024;001;19385;Bittner, Laura E.;;;;;;;;;;;;;;;;;;;;87.1%;;3.2%;9.7%;
;;25500;Art Appreciation;202420;Spring 2024;001;10271;Peterson, Jessica M.;48.4%;7.8%;26.6%;;;1.6%;3.1%;;1.6%;3.1%;;;;;3.1%;;;;;;;;4.7%;
;;;;;;003;20309;Uhlig, Susan D.;90.0%;5.0%;;;2.5%;;;;;;;;;;2.5%;;;;;;;;;
;;;;;;004;10236;Uhlig, Susan D.;75.0%;7.5%;;;;5.0%;;2.5%;;;;2.5%;;;2.5%;2.5%;;;;;;;2.5%;
;;;;;;005;10425;Hitselberger, Brian J.;13.5%;18.9%;;;8.1%;5.4%;5.4%;5.4%;5.4%;10.8%;;5.4%;2.7%;;5.4%;;;;;;;;13.5%;
;;25600;Presentation Technique;202420;Spring 2024;002;10275;Visser, Steve C.;33.3%;38.9%;;;;;5.6%;5.6%;5.6%;;;;;;;;;;;;;;11.1%;
;;;;;;003;16752;Visser, Steve C.;31.6%;15.8%;;;10.5%;10.5%;15.8%;;;;;;;;5.3%;;;;;;;;10.5%;
;;25601;Industr Design Soph Review;202420;Spring 2024;001;19374;Visser, Steve C.;;;;;;;;;;;;;;;;;;;;64.9%;;27.0%;8.1%;
;;26200;Jewelry & Metalwork I;202420;Spring 2024;002;10279;Mohl, Jessica S.;28.6%;42.9%;;;;7.1%;7.1%;;;7.1%;;;;;7.1%;;;;;;;;;
;;;;;;003;18577;Mohl, Jessica S.;21.4%;21.4%;;;28.6%;;21.4%;;7.1%;;;;;;;;;;;;;;;
;;26600;Silkscreen Printmaking;202420;Spring 2024;001;25979;Brownlow, Grant M.;41.7%;8.3%;;;25.0%;8.3%;;;;16.7%;;;;;;;;;;;;;;
;;26700;Digital Imaging;202420;Spring 2024;001;19435;Dean, Katherine E.;20.0%;13.3%;20.0%;;;6.7%;33.3%;;;6.7%;;;;;;;;;;;;;;
;;;;;;002;21166;Swanson, Patricia A.;85.7%;7.1%;;;;;;;;;;;;;;;;;;;;;7.1%;
;;27000;Constructed Textiles;202420;Spring 2024;001;14551;Swanson, Patricia A.;91.7%;;;;;;;8.3%;;;;;;;;;;;;;;;;
;;;;;;003;21761;Swanson, Patricia A.;72.7%;9.1%;;;;;18.2%;;;;;;;;;;;;;;;;;
;;27500;Beginning Sculpture;202420;Spring 2024;001;15726;Terrell, Michael S.;20.0%;33.3%;26.7%;;6.7%;;;;;;;;;;;6.7%;;;;;;;6.7%;
;;28000;Human Behavior And Design Envr;202420;Spring 2024;001;10198;Bulow, Hannah K.;26.8%;34.1%;;;19.5%;;12.2%;;4.9%;2.4%;;;;;;;;;;;;;;
;;28500;Inter Comp & Materials;202420;Spring 2024;001;10286;Bittner, Laura E.;3.0%;18.2%;;;15.2%;21.2%;30.3%;3.0%;3.0%;;;;;;3.0%;;;;;;;;3.0%;
;;30300;Art MID Jr High Schls;202420;Spring 2024;010;26167;Sabol, Frank R.;94.1%;;;;;;;;;;;;;;;;;;;;;;5.9%;
;;30400;Video Art;202420;Spring 2024;001;58259;Winkler, Fabian;30.8%;23.1%;23.1%;;7.7%;;7.7%;;;;;;;;;;;;;;;;7.7%;
;;;;;;002;11167;Mallick, Abinash;14.3%;21.4%;14.3%;;14.3%;7.1%;21.4%;;;;;7.1%;;;;;;;;;;;;
;;;;;;003;26176;Mallick, Abinash;37.5%;25.0%;31.3%;;;;;;;;;;;;6.3%;;;;;;;;;
;;30600;Industrial Design II;202420;Spring 2024;001;10294;Kim, Tong J.;36.4%;18.2%;36.4%;;9.1%;;;;;;;;;;;;;;;;;;;
;;;;;;002;14553;Kim, Tong J.;33.3%;58.3%;8.3%;;;;;;;;;;;;;;;;;;;;;
;;30701;Contemporary Photography;202420;Spring 2024;001;18580;Craven, Eli J.;10.0%;20.0%;55.0%;;5.0%;5.0%;5.0%;;;;;;;;;;;;;;;;;
;;31200;Ancient Roman Art;202420;Spring 2024;001;14554;Ebarb, Joel R.;30.0%;30.0%;10.0%;;10.0%;;6.7%;;;6.7%;;;;;3.3%;;;;;;;;3.3%;
;;31400;Experimental Drawing;202420;Spring 2024;001;34191;Penington, Eric A.;53.3%;20.0%;;;;13.3%;6.7%;;6.7%;;;;;;;;;;;;;;;
;;31600;Semnr Indust Des I;202420;Spring 2024;001;13594;Lemery, Coco R.;26.1%;8.7%;26.1%;;17.4%;;8.7%;;;8.7%;;;4.3%;;;;;;;;;;;
;;31900;Web Dsgn Visual Comm;202420;Spring 2024;001;10297;Barrett, Felicia J.;37.5%;37.5%;6.3%;;6.3%;6.3%;6.3%;;;;;;;;;;;;;;;;;
;;;;;;002;10298;Bendito, Petronio A.;6.3%;6.3%;43.8%;;12.5%;6.3%;12.5%;;;;;;;;12.5%;;;;;;;;;
;;34200;Ceramics II;202420;Spring 2024;001;19070;Zahner, Sigrid K.;50.0%;16.7%;;;;16.7%;;;;;8.3%;;;;;;;8.3%;;;;;;
;;34400;Latin America Art In 20th Cent;202420;Spring 2024;001;14557;Dossin, Catherine;6.3%;31.3%;9.4%;;12.5%;3.1%;15.6%;;12.5%;6.3%;;3.1%;;;;;;;;;;;;
;;34600;Italian Renaissance Art;202420;Spring 2024;001;26182;Martin, Linda M.;13.6%;13.6%;13.6%;;;22.7%;9.1%;4.5%;;4.5%;;;;;4.5%;;;;;;;;13.6%;
;;35000;Interior Design IV;202420;Spring 2024;001;10301;Bittner, Laura E.;30.8%;30.8%;;;7.7%;7.7%;23.1%;;;;;;;;;;;;;;;;;
;;;;;;002;13855;Bittner, Laura E.;37.5%;6.3%;;;37.5%;12.5%;6.3%;;;;;;;;;;;;;;;;;
;;36200;Jewelry And Metalwork;202420;Spring 2024;001;20167;Mohl, Jessica S.;30.8%;;15.4%;;15.4%;;15.4%;23.1%;;;;;;;;;;;;;;;;
;;36300;Documentary Photography;202420;Spring 2024;001;13666;Dean, Katherine E.;46.2%;15.4%;23.1%;;;;;7.7%;;;;;;;;;;;;;;;7.7%;
;;36600;Visual Commu Design II;202420;Spring 2024;001;10305;Kim, Hyungjoo A.;18.8%;31.3%;;;6.3%;12.5%;25.0%;;;;;;;;6.3%;;;;;;;;;
;;;;;;002;10304;Kim, Hyungjoo A.;6.3%;12.5%;;;18.8%;;43.8%;;;12.5%;;;;;6.3%;;;;;;;;;
;;38400;Contemporary Art;202420;Spring 2024;001;10310;Dossin, Catherine;13.0%;9.3%;3.7%;;29.6%;5.6%;18.5%;1.9%;1.9%;3.7%;3.7%;;1.9%;;5.6%;;;;;;;;1.9%;
;;40600;Industrial Design IV;202420;Spring 2024;001;10316;Sohn, Jung J.;60.0%;20.0%;20.0%;;;;;;;;;;;;;;;;;;;;;
;;41600;Sem Ideas Industrial Design II;202420;Spring 2024;001;63673;Qian, Zhen Yu;13.3%;46.7%;;;13.3%;;26.7%;;;;;;;;;;;;;;;;;
;;43200;Visual Comm Design IV;202420;Spring 2024;001;10302;Zhang, Li;23.1%;23.1%;15.4%;;30.8%;;7.7%;;;;;;;;;;;;;;;;;
;;;;;;002;26673;Zhang, Li;40.0%;33.3%;6.7%;;;;20.0%;;;;;;;;;;;;;;;;;
;;44000;Inter Detail & Const;202420;Spring 2024;001;62998;Ebbini, Genell W.;22.7%;;;;27.3%;9.1%;;4.5%;22.7%;9.1%;;;;;;4.5%;;;;;;;;
;;46500;Professional Practice;202420;Spring 2024;X01;10361;Pinto Alexander, Ana I.;77.3%;;13.6%;;9.1%;;;;;;;;;;;;;;;;;;;
;;47800;Intern Art And Design;202420;Spring 2024;001;10363;Instructor, Off Campus;92.3%;7.7%;;;;;;;;;;;;;;;;;;;;;;
;;49900;Studio Arts Prof Prac/Sr Exh;202420;Spring 2024;001;63053;Craven, Eli J.;37.5%;;62.5%;;;;;;;;;;;;;;;;;;;;;
;;52000;Visual Design Service;202420;Spring 2024;002;12687;Deal, James David;76.9%;;15.4%;;;;;;;7.7%;;;;;;;;;;;;;;
;;;;;;003;26690;Deal, James David;66.7%;;33.3%;;;;;;;;;;;;;;;;;;;;;
AFT;AFT-Aerospace Studies;12000;Heritage And Values II;202420;Spring 2024;001;10534;Franklin, Jessica R.;60.0%;20.0%;;;5.0%;;;;;;;;;;;;;;;;;;15.0%;
;;;;;;003;10536;Franklin, Jessica R.;70.0%;25.0%;;;;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;004;46926;Franklin, Jessica R.;37.5%;18.8%;;;12.5%;6.3%;12.5%;;;;;;;;;;;;;;;;12.5%;
;;20220;Air Force ROTC Lead Lab;202420;Spring 2024;001;20041;Meoli, Michael T.;;;;;;;;;;;;;;;;;;92.2%;;;;;7.8%;
;;24000;Team & Ldrshp Fund II;202420;Spring 2024;001;10538;Rose, Derek M.;95.8%;;;;;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;002;10539;Rose, Derek M.;92.3%;;;;;;;;;;;;;;;;;;;;;;7.7%;
;;36100;Leading Ppl & Effect Comm II;202420;Spring 2024;001;10541;Meoli, Michael T.;73.3%;13.3%;;;6.7%;;6.7%;;;;;;;;;;;;;;;;;
;;;;;;002;15709;Meoli, Michael T.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;40220;Air Force ROTC Lead Lab;202420;Spring 2024;001;20038;Meoli, Michael T.;;;;;;;;;;;;;;;;;;98.2%;;;;;1.8%;
;;48100;Natl Sec Commission Prep II;202420;Spring 2024;001;10544;Mckenna, Joseph W.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;19331;Mckenna, Joseph W.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
AGEC;AGEC-Agricultural Economics;20201;Intro To Data Analytics AGBS;202420;Spring 2024;001;10599;Neuhofer, Zachary T.;32.6%;14.4%;19.7%;;10.6%;3.8%;6.1%;1.5%;2.3%;2.3%;;1.5%;1.5%;;0.8%;;;;;;;;3.0%;
;;20300;Microecon Food & Agbus;202420;Spring 2024;001;10549;Lee, John G.;40.2%;;1.0%;;39.2%;;;13.7%;;;2.9%;;;;2.9%;;;;;;;;;
;;20400;Intro To Resource Econ;202420;Spring 2024;001;68760;Lee, John G.;32.4%;;;;39.2%;;;23.0%;;;;;;;1.4%;;;;;;;;4.1%;
;;21700;Economics;202420;Spring 2024;001;10551;Moss, Leeann E.;37.8%;15.9%;21.3%;;9.1%;1.5%;7.0%;1.8%;0.3%;2.1%;;;;;1.2%;;;;;;;;1.8%;
;;;;;;Y01;57258;Moss, Leeann E.;33.3%;14.5%;26.3%;;9.7%;1.9%;6.7%;2.2%;0.8%;1.9%;;;;;0.3%;;;;;;;;2.4%;
;;22000;Econ Of Agricultural Markets;202420;Spring 2024;001;10554;Mallory, Mindy L.;17.3%;11.1%;27.2%;;9.9%;4.9%;7.4%;2.5%;1.2%;4.9%;1.2%;1.2%;2.5%;;;;;;;;;;8.6%;
;;25000;Econ Geog World Food;202420;Spring 2024;001;10555;Balagtas, Joseph V.;7.4%;33.3%;22.2%;;3.7%;18.5%;7.4%;7.4%;;;;;;;;;;;;;;;;
;;31000;Farm Organization;202420;Spring 2024;001;10339;Moss, Leeann E.;9.4%;22.6%;11.9%;;23.3%;6.9%;6.3%;6.3%;1.9%;5.7%;2.5%;;;;1.9%;;;0.6%;;;;;0.6%;
;;32700;Prin Of Food & Agribus Mrkt;202420;Spring 2024;001;10619;Kilders, Valerie;43.4%;11.8%;25.0%;;3.9%;1.3%;9.2%;1.3%;1.3%;;;;;;;;;;;;;;2.6%;
;;33000;Mgmt Methods Agr Bus;202420;Spring 2024;001;10561;Moss, Leeann E.;37.5%;17.1%;17.8%;;10.5%;2.6%;7.2%;1.3%;;1.3%;1.3%;;0.7%;;1.3%;;;;;;;;1.3%;
;;;Mgmt Methods Agr Bus-Honors;202420;Spring 2024;001;10561;Moss, Leeann E.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;33100;Prin Of Industrial Selling;202420;Spring 2024;001;10562;Cochran, Amy L.;11.9%;13.4%;0.7%;;20.1%;8.2%;17.2%;5.2%;1.5%;6.7%;;;1.5%;;0.7%;;;;;;;;12.7%;
;;33300;Food Dist Retail Persp;202420;Spring 2024;001;64067;Wu, Steven Y.;11.5%;3.8%;9.6%;;7.7%;23.1%;7.7%;5.8%;9.6%;;1.9%;1.9%;3.8%;;;;;3.8%;;;;;9.6%;
;;35200;Tech For Firm Decision;202420;Spring 2024;003;10344;Soares Cardoso, Diego;25.0%;13.3%;21.7%;;8.3%;11.7%;10.0%;1.7%;1.7%;6.7%;;;;;;;;;;;;;;
;;37500;Process Econ Research;202420;Spring 2024;001;11585;Kuethe, Todd H.;96.9%;;;;;;;;;;;;;;;;;;;;;;3.1%;
;;41000;Agricultural Policy;202420;Spring 2024;001;10567;Keeney, Roman M.;83.8%;;;;12.2%;;1.4%;;;;;;;;;;;2.7%;;;;;;
;;42100;Adv Commodity Marketing;202420;Spring 2024;001;10346;Mallory, Mindy L.;29.4%;17.6%;17.6%;;8.8%;2.9%;17.6%;;;2.9%;;;;;;;;2.9%;;;;;;
;;42400;Finan Mgt Agr Bus;202420;Spring 2024;001;43331;Wang, Hong H.;16.7%;10.4%;;;22.9%;10.4%;16.7%;10.4%;2.1%;8.3%;2.1%;;;;;;;;;;;;;
;;42900;Agri-Marketing Analytics;202420;Spring 2024;002;10007;Wu, Steven Y.;50.0%;25.0%;;;15.0%;;5.0%;;;5.0%;;;;;;;;;;;;;;
;;43000;Agr&Food Bus Strategy;202420;Spring 2024;001;10577;Ellison, Brenna D.;38.5%;26.9%;9.6%;;11.5%;1.9%;7.7%;1.9%;;;;;;;;;;;;;;;1.9%;
;;45000;Internatl Agric Trade;202420;Spring 2024;001;10114;Dalheimer, Hans Bernhard S.;2.2%;;;;10.9%;13.0%;4.3%;21.7%;10.9%;6.5%;4.3%;;8.7%;;2.2%;;;15.2%;;;;;;
;;45100;Applied Econometrics;202420;Spring 2024;002;65203;Delgado, Michael S.;14.3%;3.6%;35.7%;;10.7%;10.7%;3.6%;3.6%;;;10.7%;;3.6%;;;;;3.6%;;;;;;
;;49800;NAMA;202420;Spring 2024;013;22176;Brewer, Brady E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;52400;Agricultural Finance;202420;Spring 2024;001;10588;Langemeier, Michael R.;54.5%;9.1%;13.6%;;9.1%;9.1%;;4.5%;;;;;;;;;;;;;;;;
;;52800;Feeding The World Sustainably;202420;Spring 2024;001;10441;Hertel, Thomas W.;35.3%;29.4%;17.6%;;;;5.9%;;;;;;;;;5.9%;;;;;;;5.9%;
;;60200;Prep Proced Pol Anly;202420;Spring 2024;001;10593;Kuethe, Todd H.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;65000;Econometrics I;202420;Spring 2024;001;10356;Katare, Bhagyashree;42.9%;57.1%;;;;;;;;;;;;;;;;;;;;;;
;;65100;Econometrics II;202420;Spring 2024;001;11205;Delgado, Michael S.;23.1%;15.4%;15.4%;;;23.1%;7.7%;;;7.7%;;;;;;;;;;;;;7.7%;
AGR;AGR-Agriculture;20100;Com Across Culture;202420;Spring 2024;001;10646;Morris, Pamala V.;40.5%;19.0%;21.5%;;4.3%;4.3%;3.7%;;1.2%;1.2%;;1.2%;;;0.6%;;;;;;;;2.5%;
;;;;;;Y01;60720;Morris, Pamala V.;37.3%;18.6%;23.7%;;6.8%;1.7%;3.4%;1.7%;3.4%;;;;1.7%;;;;;1.7%;;;;;;
;;29000;Deans Scholars Spec Tpc Class;202420;Spring 2024;H01;19688;Byers, Elizabeth;90.9%;;;;9.1%;;;;;;;;;;;;;;;;;;;
;;33300;Data Science For Agriculture;202420;Spring 2024;001;27580;Erickson, Bruce J.;66.7%;;;;23.8%;;;4.8%;;;4.8%;;;;;;;;;;;;;
AGRY;AGRY-Agronomy;10500;Crop Production;202420;Spring 2024;008;10408;Gerber, Corey K.;30.0%;;;;56.7%;;;6.7%;;;;;;;3.3%;;;;;;;;3.3%;
;;12500;Environmental Scienc & Conserv;202420;Spring 2024;001;10299;Dunning, John B.;21.7%;4.3%;4.3%;;13.0%;4.3%;8.7%;8.7%;;4.3%;8.7%;8.7%;;;8.7%;4.3%;;;;;;;;
;;25500;Soil Science;202420;Spring 2024;009;10701;Rahmani, Shams Rahman R.;49.1%;;;;23.3%;;6.9%;5.2%;;6.0%;5.2%;;0.9%;;1.7%;;;;;;;;1.7%;
;;27000;Forest Soils;202420;Spring 2024;004;10727;Rahmani, Shams Rahman R.;33.8%;;;;26.2%;;6.2%;18.5%;;7.7%;1.5%;;1.5%;;1.5%;;;;;;;;3.1%;
;;;Forest Soils-Honors;202420;Spring 2024;004;10727;Rahmani, Shams Rahman R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;28500;Wrld Crp Adpt & Dstrbt;202420;Spring 2024;001;24336;Tuinstra, Mitchell R.;28.6%;9.1%;;;19.5%;9.1%;13.0%;6.5%;6.5%;2.6%;1.3%;1.3%;;;1.3%;;;1.3%;;;;;;
;;;Wrld Crp Adpt & Dstrbt-Honors;202420;Spring 2024;001;24336;Tuinstra, Mitchell R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;32000;Genetics;202420;Spring 2024;001;10747;Mohammadi, Mohsen;23.8%;5.3%;22.2%;0.5%;11.6%;6.3%;11.1%;7.9%;2.6%;5.8%;1.6%;;;;0.5%;;;;;;;;0.5%;
;;32100;Genetics Laboratory;202420;Spring 2024;002;10749;Allen, Sara L.;14.3%;28.6%;50.0%;;;7.1%;;;;;;;;;;;;;;;;;;
;;;;;;004;10751;Rodriguez, Juliana;26.7%;6.7%;46.7%;;;6.7%;13.3%;;;;;;;;;;;;;;;;;
;;;;;;005;10752;Limmada, Venkata Hemanth;38.5%;30.8%;30.8%;;;;;;;;;;;;;;;;;;;;;
;;;;;;008;10755;Limmada, Venkata Hemanth;14.3%;35.7%;28.6%;;7.1%;;;;;7.1%;7.1%;;;;;;;;;;;;;
;;;;;;009;46773;Allen, Sara L.;6.7%;20.0%;66.7%;;;6.7%;;;;;;;;;;;;;;;;;;
;;;;;;010;55409;Rodriguez, Juliana;28.6%;14.3%;28.6%;;14.3%;7.1%;;;7.1%;;;;;;;;;;;;;;;
;;;;;;011;22653;Allen, Sara L.;16.7%;16.7%;33.3%;;8.3%;16.7%;;;;8.3%;;;;;;;;;;;;;;
;;33500;Weather And Climate;202420;Spring 2024;002;23027;Hall, Beth L.;6.3%;18.8%;;;12.5%;28.1%;15.6%;;;9.4%;3.1%;;3.1%;;3.1%;;;;;;;;;
;;33700;Environmntal Hydrology;202420;Spring 2024;001;53096;Bowling, Laura C.;20.0%;14.1%;22.4%;;9.4%;7.1%;11.8%;3.5%;1.2%;3.5%;;1.2%;;;2.4%;1.2%;;;;;;;2.4%;
;;36500;Soil Fertility;202420;Spring 2024;006;10764;Bradford, Jeffrey T.;61.2%;;;;26.9%;;;4.5%;;;;;;;4.5%;;;;;;;;3.0%;
;;37500;Crop Production Systms;202420;Spring 2024;001;10769;Schweitzer, Lee E.;70.7%;;;;26.7%;;;2.7%;;;;;;;;;;;;;;;;
;;39900;Crop Production Sys Of Idaho;202420;Spring 2024;022;15760;Bradford, Jeffrey T.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;50500;Forage Management;202420;Spring 2024;001;10780;Johnson, Keith D.;28.8%;;;;50.0%;;;13.5%;;;;;;;3.8%;;;3.8%;;;;;;
;;51800;Plant Phys & Biotech Res Tech;202420;Spring 2024;003;15411;Zhang, Cankui;46.7%;20.0%;;;6.7%;;20.0%;6.7%;;;;;;;;;;;;;;;;
;;52500;Crop Physiol And Ecol;202420;Spring 2024;001;65527;Volenec, Jeffrey J.;8.1%;16.2%;;2.7%;21.6%;10.8%;8.1%;2.7%;2.7%;21.6%;;;;;2.7%;;;;;;;;2.7%;
